ID	adj.P.Val	P.Value	logFC	GeneSymbol
A_23_P141345	0.2043	3.18E-04	-7.72E-01	
CUST_31429_PI429545376	0.2078	3.27E-04	1.06	
A_33_P3404922	0.2088	3.31E-04	-7.92E-01	KIAA1217
CUST_40283_PI429545399	0.2095	3.37E-04	9.94E-01	
CUST_37385_PI429545402	0.2095	3.39E-04	1.19	
A_24_P284805	0.2116	3.46E-04	-7.92E-01	INPP5J
CUST_39224_PI429545402	0.2201	3.63E-04	-7.86E-01	
CUST_41117_PI429545388	0.2238	3.75E-04	-7.98E-01	
CUST_34451_PI429545395	0.2238	3.78E-04	9.64E-01	
CUST_23037_PI429545384	0.2238	3.80E-04	-5.16E-01	
A_33_P3344399	0.2238	3.85E-04	-1.22	
CUST_41974_PI429545399	0.2238	3.89E-04	1.27	
A_23_P159676	0.2238	3.89E-04	-1.13	TBX22
A_33_P3258467	0.2241	3.93E-04	-5.14E-01	
CUST_23837_PI429545384	0.2246	3.98E-04	-1.46	
CUST_39957_PI429545384	0.2263	4.09E-04	-1.33	
A_21_P0011058	0.2263	4.16E-04	-1.1	
CUST_29193_PI429545384	0.2263	4.18E-04	-1.71	
CUST_16284_PI429545380	0.2263	4.19E-04	-1.26	
CUST_2487_PI429545406	0.2263	4.31E-04	7.14E-01	
CUST_42597_PI429545406	0.2263	4.34E-04	-5.70E-01	
CUST_37821_PI429545395	0.2263	4.35E-04	-1.12	
CUST_17810_PI429545410	0.2263	4.37E-04	-1.83	
CUST_39289_PI429545395	0.2263	4.40E-04	-1.6	
A_23_P27306	0.2263	4.40E-04	7.78E-01	COLEC12
A_23_P323272	0.2263	4.47E-04	9.04E-01	OSR1
CUST_10134_PI429545388	0.2263	4.50E-04	-9.64E-01	
CUST_35557_PI429545399	0.2263	4.53E-04	-1.15	
A_33_P3373259	0.2263	4.55E-04	-8.92E-01	CACNA2D3
A_33_P3521643	0.2263	4.61E-04	6.96E-01	PPP1R12C
CUST_29689_PI429545406	0.2263	4.64E-04	-9.42E-01	
CUST_18967_PI429545384	0.2263	4.64E-04	-6.32E-01	
CUST_18666_PI429545395	0.2263	4.65E-04	7.04E-01	
