ID	adj.P.Val	P.Value	logFC	GeneSymbol
A_33_P3314146	0.6119	1.42E-01	-5.70E-01	MINA
A_33_P3315748	0.6119	1.42E-01	-3.78E-01	
A_33_P3255046	0.6119	1.42E-01	2.56E-01	
CUST_24038_PI429545376	0.6119	1.42E-01	3.80E-01	
CUST_35673_PI429545410	0.6119	1.42E-01	1.59	
A_23_P60079	0.6119	1.42E-01	4.40E-01	
CUST_17398_PI429545380	0.612	1.42E-01	2.28E-01	
CUST_20433_PI429545410	0.612	1.42E-01	-3.82E-01	
A_33_P3279730	0.612	1.42E-01	-2.58E-01	DDT
CUST_27931_PI429545399	0.612	1.42E-01	2.72E-01	
CUST_41170_PI429545406	0.612	1.42E-01	-1.96E-01	
CUST_31606_PI429545402	0.612	1.42E-01	-3.56E-01	
CUST_31139_PI429545406	0.612	1.42E-01	2.36E-01	
A_33_P3215123	0.612	1.42E-01	2.10E-01	RAP1GDS1
A_33_P3367301	0.612	1.42E-01	-4.58E-01	GJD3
A_24_P280762	0.612	1.42E-01	-2.98E-01	
A_33_P3351554	0.612	1.42E-01	-1.98E-01	ETNK2
A_23_P145054	0.612	1.42E-01	-2.86E-01	
CUST_37451_PI429545395	0.612	1.42E-01	2.52E-01	
CUST_41417_PI429545388	0.612	1.42E-01	7.56E-01	
CUST_22638_PI429545376	0.612	1.43E-01	-2.86E-01	
A_23_P214144	0.612	1.43E-01	-3.54E-01	COL10A1
A_33_P3256725	0.612	1.43E-01	-2.82E-01	PIP5K1B
A_23_P252825	0.612	1.43E-01	1.66E-01	SCAP
CUST_33225_PI429545406	0.612	1.43E-01	9.90E-01	
CUST_36725_PI429545406	0.612	1.43E-01	-5.72E-01	
A_23_P57248	0.612	1.43E-01	4.12E-01	
A_23_P258321	0.612	1.43E-01	-2.58E-01	MRPS17
A_24_P228130	0.612	1.43E-01	4.82E-01	CCL3L3
CUST_15703_PI429545384	0.612	1.43E-01	8.00E-01	
A_23_P118203	0.612	1.43E-01	4.08E-01	
A_24_P91985	0.612	1.43E-01	1.42E-01	WDR17
CUST_14957_PI429545399	0.6121	1.43E-01	-3.14E-01	
A_23_P429449	0.6121	1.43E-01	3.46E-01	NKD1
A_33_P3267640	0.6123	1.43E-01	-2.86E-01	
A_24_P70183	0.6123	1.43E-01	-4.80E-01	MYH11
CUST_33424_PI429545406	0.6123	1.43E-01	2.94E-01	
CUST_38782_PI429545402	0.6123	1.43E-01	-4.00E-01	
CUST_42815_PI429545380	0.6123	1.43E-01	1.46E-01	
A_23_P325726	0.6123	1.43E-01	-1.90E-01	ACOT11
A_23_P127088	0.6123	1.43E-01	1.70E-01	CUEDC2
CUST_29298_PI429545406	0.6123	1.43E-01	6.10E-01	
CUST_40522_PI429545380	0.6123	1.43E-01	-2.10E-01	
CUST_20073_PI429545376	0.6123	1.43E-01	-4.40E-01	
A_23_P420281	0.6123	1.43E-01	6.60E-01	PRKCB
CUST_24811_PI429545380	0.6123	1.43E-01	-5.92E-01	
CUST_29648_PI429545395	0.6123	1.43E-01	2.60E-01	
CUST_22863_PI429545410	0.6123	1.43E-01	-3.72E-01	
A_33_P3356106	0.6123	1.43E-01	1.60E-01	
A_33_P3220302	0.6123	1.43E-01	-3.08E-01	
A_33_P3305521	0.6123	1.43E-01	-2.82E-01	
CUST_13003_PI429545384	0.6123	1.43E-01	5.66E-01	
A_23_P209538	0.6123	1.43E-01	-2.28E-01	KANSL3
A_23_P210643	0.6123	1.43E-01	2.40E-01	TH1L
A_33_P3310981	0.6123	1.43E-01	2.36E-01	ZNF215
A_24_P320545	0.6123	1.43E-01	3.06E-01	PTK7
CUST_22097_PI429545384	0.6123	1.43E-01	5.80E-01	
CUST_36667_PI429545384	0.6123	1.43E-01	-2.62E-01	
CUST_1180_PI429545376	0.6123	1.43E-01	2.18E-01	
A_23_P205611	0.6123	1.43E-01	1.86E-01	GMFB
A_23_P25994	0.6124	1.43E-01	4.56E-01	LGMN
A_24_P245838	0.6124	1.43E-01	-4.62E-01	MGAT3
A_33_P3248152	0.6124	1.43E-01	9.72E-01	AMPD1
CUST_41455_PI429545376	0.6124	1.43E-01	2.56E-01	
CUST_38565_PI429545406	0.6124	1.43E-01	-2.56E-01	
A_33_P3271635	0.6125	1.43E-01	6.24E-01	HLA-DPB1
A_23_P83835	0.6125	1.43E-01	1.72E-01	SGK196
CUST_37403_PI429545410	0.6125	1.43E-01	-7.68E-01	
CUST_32941_PI429545395	0.6125	1.43E-01	1.40E-01	
A_33_P3303557	0.6125	1.43E-01	-2.54E-01	
CUST_26891_PI429545380	0.6125	1.43E-01	-9.20E-01	
CUST_1230_PI429545410	0.6126	1.43E-01	1.32E-01	
CUST_40590_PI429545406	0.6126	1.43E-01	2.12E-01	
CUST_11831_PI429545399	0.6126	1.43E-01	-2.18E-01	
CUST_34151_PI429545395	0.6126	1.43E-01	-2.32E-01	
CUST_25633_PI429545406	0.6126	1.43E-01	1.38E-01	
CUST_25501_PI429545380	0.6126	1.43E-01	-6.74E-01	
CUST_32119_PI429545376	0.6126	1.43E-01	4.86E-01	
CUST_34294_PI429545376	0.6126	1.43E-01	6.14E-01	
A_32_P49423	0.6126	1.43E-01	1.94E-01	NPM1
CUST_12128_PI429545388	0.6126	1.43E-01	-3.50E-01	
A_32_P80255	0.6126	1.43E-01	6.06E-01	
CUST_12478_PI429545388	0.6126	1.43E-01	1.90E-01	
A_23_P80156	0.6126	1.43E-01	1.96E-01	PRMT2
CUST_30993_PI429545410	0.6127	1.43E-01	-2.34E-01	
A_24_P111054	0.6127	1.43E-01	-2.48E-01	SLC2A5
A_33_P3408702	0.6127	1.43E-01	2.72E-01	
CUST_41854_PI429545399	0.6127	1.43E-01	2.94E-01	
A_33_P3307775	0.6128	1.43E-01	1.96E-01	
A_23_P33187	0.6128	1.43E-01	2.10E-01	HIATL1
CUST_33947_PI429545388	0.6128	1.43E-01	-1.68E-01	
CUST_25621_PI429545399	0.6128	1.43E-01	-5.52E-01	
CUST_21701_PI429545395	0.6128	1.43E-01	-2.16E-01	
A_23_P39237	0.6128	1.43E-01	5.06E-01	
A_24_P355944	0.6128	1.43E-01	-2.36E-01	EFNB2
A_33_P3353343	0.6128	1.43E-01	2.06E-01	SRRM2
CUST_42943_PI429545376	0.6128	1.43E-01	7.04E-01	
CUST_1020_PI429545410	0.6129	1.43E-01	6.44E-01	
CUST_24301_PI429545380	0.6129	1.43E-01	6.36E-01	
A_33_P3299329	0.613	1.43E-01	3.58E-01	
CUST_11518_PI429545406	0.613	1.43E-01	-1.62E-01	
A_23_P368338	0.613	1.43E-01	3.18E-01	
CUST_34556_PI429545402	0.613	1.43E-01	-5.96E-01	
A_33_P3248052	0.613	1.43E-01	-5.78E-01	NLGN4Y
CUST_31879_PI429545399	0.613	1.44E-01	3.88E-01	
A_33_P3219230	0.613	1.44E-01	-5.00E-01	LOC390877
A_24_P766716	0.613	1.44E-01	3.80E-01	
A_23_P10156	0.613	1.44E-01	-1.98E-01	CHMP6
A_24_P68031	0.613	1.44E-01	2.68E-01	C10orf118
CUST_38994_PI429545406	0.613	1.44E-01	-5.04E-01	
CUST_20293_PI429545410	0.613	1.44E-01	-5.54E-01	
CUST_14479_PI429545380	0.613	1.44E-01	-2.34E-01	
A_24_P263956	0.6131	1.44E-01	-2.10E-01	
A_33_P3884005	0.6131	1.44E-01	-3.06E-01	LOC93444
CUST_34967_PI429545399	0.6131	1.44E-01	-6.02E-01	
A_24_P140405	0.6131	1.44E-01	2.90E-01	ADAMTS3
A_23_P81898	0.6131	1.44E-01	9.08E-01	UBD
A_33_P3333272	0.6131	1.44E-01	2.54E-01	TMEM235
A_33_P3387831	0.6131	1.44E-01	4.94E-01	
CUST_44943_PI429545399	0.6131	1.44E-01	2.74E-01	
A_23_P113005	0.6131	1.44E-01	-1.98E-01	
A_32_P34046	0.6131	1.44E-01	-3.34E-01	HFM1
CUST_26763_PI429545388	0.6131	1.44E-01	-2.40E-01	
A_33_P3265194	0.6131	1.44E-01	-1.88E-01	CPSF4L
CUST_1177_PI429545399	0.6132	1.44E-01	1.96E-01	
CUST_24861_PI429545399	0.6132	1.44E-01	-2.72E-01	
CUST_28600_PI429545395	0.6132	1.44E-01	3.56E-01	
A_33_P3381781	0.6132	1.44E-01	-4.46E-01	
A_33_P3300941	0.6132	1.44E-01	-4.24E-01	NPCDR1
CUST_27633_PI429545388	0.6132	1.44E-01	-3.06E-01	
A_33_P3374324	0.6132	1.44E-01	-3.08E-01	
CUST_30603_PI429545410	0.6132	1.44E-01	2.24E-01	
A_24_P76666	0.6132	1.44E-01	2.10E-01	CSNK2A1
A_23_P135257	0.6132	1.44E-01	-2.66E-01	PRSS3
CUST_10316_PI429545384	0.6132	1.44E-01	-3.24E-01	
CUST_20957_PI429545388	0.6132	1.44E-01	-2.68E-01	
A_24_P263786	0.6132	1.44E-01	1.34	
CUST_30509_PI429545406	0.6132	1.44E-01	4.68E-01	
CUST_35184_PI429545376	0.6132	1.44E-01	4.88E-01	
CUST_10613_PI429545410	0.6132	1.44E-01	-1.86E-01	
A_24_P361427	0.6132	1.44E-01	-2.06E-01	TBC1D29
CUST_19471_PI429545395	0.6132	1.44E-01	-7.62E-01	
CUST_32891_PI429545395	0.6132	1.44E-01	-1.88E-01	
A_23_P34233	0.6133	1.44E-01	-2.66E-01	
A_24_P204204	0.6133	1.44E-01	4.96E-01	
A_23_P143016	0.6133	1.44E-01	3.46E-01	ARID5A
CUST_27433_PI429545402	0.6133	1.44E-01	3.46E-01	
CUST_39132_PI429545380	0.6133	1.44E-01	2.18E-01	
A_24_P299355	0.6133	1.44E-01	7.48E-01	GRAPL
CUST_32316_PI429545402	0.6133	1.44E-01	2.08E-01	
A_23_P35131	0.6133	1.44E-01	2.22E-01	SF3B4
CUST_32442_PI429545406	0.6133	1.44E-01	4.06E-01	
CUST_13980_PI429545402	0.6133	1.44E-01	-2.12E-01	
A_24_P782308	0.6133	1.44E-01	-3.52E-01	NEDD4L
A_33_P3354141	0.6133	1.44E-01	-2.08E-01	
A_33_P3351991	0.6133	1.44E-01	-1.86E-01	
CUST_22603_PI429545410	0.6133	1.44E-01	1.90E-01	
CUST_32021_PI429545388	0.6133	1.44E-01	1.90E-01	
A_23_P411772	0.6133	1.44E-01	-2.60E-01	PCDHGB2
A_33_P3381393	0.6133	1.44E-01	2.22E-01	
CUST_24331_PI429545395	0.6133	1.44E-01	-3.14E-01	
CUST_19994_PI429545402	0.6133	1.44E-01	-3.12E-01	
CUST_23581_PI429545410	0.6133	1.44E-01	-2.44E-01	
CUST_32417_PI429545388	0.6133	1.44E-01	4.90E-01	
A_32_P386636	0.6133	1.44E-01	-2.42E-01	
A_33_P3259440	0.6133	1.44E-01	1.82E-01	GOLGA6A
A_23_P21033	0.6133	1.44E-01	2.14E-01	GMPS
CUST_11122_PI429545402	0.6133	1.44E-01	8.56E-01	
A_23_P135966	0.6133	1.44E-01	-2.36E-01	
CUST_20343_PI429545376	0.6133	1.44E-01	3.50E-01	
A_23_P376557	0.6133	1.44E-01	1.46E-01	MMP25
CUST_34852_PI429545380	0.6133	1.44E-01	3.28E-01	
CUST_23611_PI429545399	0.6133	1.44E-01	1.42E-01	
CUST_29398_PI429545395	0.6133	1.44E-01	-6.28E-01	
CUST_14430_PI429545402	0.6133	1.44E-01	-1.70E-01	
A_24_P336137	0.6133	1.44E-01	2.12E-01	C22orf23
CUST_20723_PI429545376	0.6133	1.44E-01	-4.64E-01	
A_33_P3288079	0.6133	1.44E-01	2.52E-01	
CUST_34514_PI429545376	0.6133	1.44E-01	6.00E-01	
A_24_P927041	0.6133	1.44E-01	2.68E-01	
A_33_P3413997	0.6133	1.44E-01	6.42E-01	
A_24_P228875	0.6133	1.44E-01	2.46E-01	
A_33_P3405004	0.6133	1.44E-01	-3.34E-01	
CUST_2450_PI429545410	0.6133	1.44E-01	-2.78E-01	
A_33_P3354181	0.6133	1.44E-01	-2.52E-01	KCMF1
A_19_P00812250	0.6133	1.44E-01	-2.24E-01	SMAD4
CUST_14359_PI429545380	0.6133	1.44E-01	2.88E-01	
CUST_31435_PI429545384	0.6133	1.44E-01	4.66E-01	
CUST_37905_PI429545402	0.6133	1.44E-01	-5.24E-01	
CUST_15097_PI429545395	0.6133	1.44E-01	1.44	
A_21_P0000071	0.6133	1.44E-01	-2.86E-01	
CUST_21911_PI429545395	0.6133	1.44E-01	-4.80E-01	
CUST_33268_PI429545376	0.6133	1.44E-01	1.72E-01	
CUST_30629_PI429545406	0.6133	1.44E-01	-7.18E-01	
A_33_P3577857	0.6133	1.44E-01	2.72E-01	
A_23_P106906	0.6133	1.44E-01	-2.40E-01	PPL
CUST_22467_PI429545399	0.6133	1.44E-01	9.14E-01	
CUST_40007_PI429545388	0.6133	1.44E-01	5.66E-01	
CUST_22633_PI429545410	0.6133	1.44E-01	2.46E-01	
A_33_P3261084	0.6133	1.44E-01	-2.40E-01	IDH3B
A_23_P110879	0.6133	1.44E-01	2.42E-01	TRAF3IP2
A_32_P832001	0.6133	1.44E-01	-3.32E-01	
CUST_14778_PI429545388	0.6133	1.44E-01	-2.58E-01	
CUST_15087_PI429545399	0.6133	1.44E-01	-4.06E-01	
A_24_P75920	0.6135	1.45E-01	2.00E-01	
CUST_20861_PI429545380	0.6135	1.45E-01	-1.96E-01	
CUST_15604_PI429545402	0.6135	1.45E-01	-1.50E-01	
A_23_P208961	0.6135	1.45E-01	-2.16E-01	MUM1
A_24_P75963	0.6136	1.45E-01	-2.46E-01	DSCR4
A_33_P3228252	0.6136	1.45E-01	-3.06E-01	
CUST_27113_PI429545402	0.6136	1.45E-01	-3.48E-01	
CUST_44936_PI429545376	0.6136	1.45E-01	-3.38E-01	
CUST_41955_PI429545380	0.6136	1.45E-01	-6.32E-01	
CUST_36798_PI429545384	0.6136	1.45E-01	2.56E-01	
CUST_1972_PI429545376	0.6136	1.45E-01	3.06E-01	
CUST_20213_PI429545376	0.6136	1.45E-01	-7.34E-01	
A_33_P3395595	0.6136	1.45E-01	-4.74E-01	CCR9
CUST_38522_PI429545395	0.6136	1.45E-01	6.16E-01	
A_33_P3326165	0.6136	1.45E-01	-2.16E-01	INS-IGF2
CUST_26781_PI429545380	0.6136	1.45E-01	-7.14E-01	
A_23_P400298	0.6137	1.45E-01	2.42E-01	PRSS22
A_23_P500542	0.6137	1.45E-01	-2.24E-01	DMBX1
A_23_P368794	0.6138	1.45E-01	1.80E-01	TCERG1L
A_23_P89902	0.6138	1.45E-01	-2.62E-01	RTN2
CUST_23043_PI429545410	0.6138	1.45E-01	-2.84E-01	
A_33_P3213377	0.6138	1.45E-01	-2.00E-01	IMMP2L
A_23_P26905	0.6138	1.45E-01	-1.98E-01	
CUST_18444_PI429545402	0.6138	1.45E-01	4.48E-01	
A_21_P0006496	0.6138	1.45E-01	-3.02E-01	GAGE2B
A_32_P194062	0.6138	1.45E-01	-8.66E-01	TYR
CUST_42710_PI429545395	0.6138	1.45E-01	-3.54E-01	
A_23_P31721	0.6139	1.45E-01	-2.60E-01	
CUST_28801_PI429545406	0.6139	1.45E-01	-2.30E-01	
CUST_11116_PI429545384	0.6139	1.45E-01	-2.94E-01	
A_33_P3281028	0.6139	1.45E-01	-3.92E-01	MACROD2
CUST_28933_PI429545402	0.6139	1.45E-01	4.92E-01	
CUST_30526_PI429545402	0.6139	1.45E-01	-7.78E-01	
CUST_31819_PI429545376	0.6139	1.45E-01	-8.76E-01	
A_33_P3413463	0.6139	1.45E-01	2.60E-01	BRF1
A_23_P217339	0.6139	1.45E-01	2.98E-01	
CUST_33885_PI429545406	0.6139	1.45E-01	2.16E-01	
A_33_P3405198	0.614	1.45E-01	3.52E-01	
CUST_21671_PI429545395	0.614	1.45E-01	-3.18E-01	
CUST_16093_PI429545384	0.6141	1.45E-01	-4.18E-01	
A_23_P375419	0.6141	1.45E-01	4.88E-01	
CUST_42654_PI429545402	0.6142	1.45E-01	-6.16E-01	
A_24_P179013	0.6142	1.45E-01	2.46E-01	
A_33_P3390284	0.6142	1.45E-01	2.24E-01	FAM122B
A_23_P501985	0.6142	1.45E-01	4.34E-01	
A_33_P3294089	0.6142	1.45E-01	2.80E-01	
CUST_41965_PI429545380	0.6142	1.45E-01	-3.92E-01	
A_23_P67913	0.6142	1.45E-01	1.84E-01	GMPPA
CUST_32357_PI429545388	0.6142	1.45E-01	4.62E-01	
A_24_P704446	0.6142	1.45E-01	2.26E-01	TMEM72
A_23_P419150	0.6142	1.45E-01	3.74E-01	VENTX
A_33_P3380897	0.6142	1.45E-01	2.20E-01	ATP6V1C1
A_23_P68807	0.6142	1.45E-01	-3.76E-01	
CUST_18378_PI429545380	0.6142	1.45E-01	-2.44E-01	
CUST_27823_PI429545388	0.6142	1.45E-01	9.60E-01	
CUST_13293_PI429545384	0.6142	1.45E-01	-4.26E-01	
A_23_P130743	0.6142	1.45E-01	5.50E-01	DKKL1
A_24_P93948	0.6142	1.45E-01	-3.68E-01	
CUST_11986_PI429545395	0.6142	1.45E-01	1.90E-01	
A_23_P8900	0.6142	1.45E-01	-2.82E-01	COX6C
CUST_17633_PI429545388	0.6142	1.45E-01	3.50E-01	
CUST_2219_PI429545380	0.6142	1.45E-01	-3.72E-01	
A_33_P3318668	0.6142	1.45E-01	-3.60E-01	
A_33_P3231705	0.6142	1.45E-01	1.78E-01	
A_33_P3337026	0.6142	1.45E-01	2.00E-01	SLC6A8
A_23_P144531	0.6142	1.45E-01	4.18E-01	ALPK1
A_24_P41021	0.6143	1.45E-01	2.74E-01	FBXO33
A_23_P370569	0.6143	1.45E-01	-2.26E-01	
A_24_P365526	0.6143	1.45E-01	4.44E-01	HCK
CUST_40339_PI429545395	0.6143	1.45E-01	-3.60E-01	
CUST_18926_PI429545395	0.6143	1.45E-01	3.72E-01	
A_33_P3273969	0.6143	1.45E-01	1.78E-01	ZC3H11A
A_33_P3314481	0.6143	1.45E-01	2.28E-01	
CUST_1446_PI429545380	0.6144	1.45E-01	2.34E-01	
A_33_P3353273	0.6144	1.45E-01	5.76E-01	
A_23_P128554	0.6144	1.45E-01	3.30E-01	
CUST_21888_PI429545402	0.6144	1.45E-01	4.66E-01	
A_21_P0004274	0.6145	1.46E-01	5.36E-01	LOC100505894
CUST_2720_PI429545406	0.6145	1.46E-01	7.74E-01	
A_23_P40805	0.6146	1.46E-01	3.92E-01	
A_33_P3259403	0.6146	1.46E-01	2.20E-01	PAN3
CUST_30999_PI429545376	0.6146	1.46E-01	-2.46E-01	
CUST_3059_PI429545380	0.6146	1.46E-01	1.80E-01	
A_24_P187799	0.6146	1.46E-01	2.22E-01	C7orf58
A_33_P3218490	0.6146	1.46E-01	-5.00E-01	LOC100128226
A_33_P3287303	0.6146	1.46E-01	-3.12E-01	
CUST_17290_PI429545376	0.6146	1.46E-01	4.66E-01	
A_21_P0011843	0.6146	1.46E-01	-2.26E-01	LOC729468
CUST_33144_PI429545399	0.6146	1.46E-01	-5.50E-01	
A_23_P83351	0.6146	1.46E-01	-1.82E-01	DFNB31
CUST_20887_PI429545399	0.6147	1.46E-01	-6.76E-01	
A_23_P114862	0.6147	1.46E-01	-4.14E-01	
CUST_30596_PI429545402	0.6147	1.46E-01	-5.88E-01	
A_33_P3359268	0.6147	1.46E-01	-1.62E-01	HMG20B
CUST_42457_PI429545406	0.6147	1.46E-01	4.58E-01	
CUST_17263_PI429545410	0.6147	1.46E-01	2.66E-01	
A_33_P3295036	0.6147	1.46E-01	-3.16E-01	LOC389676
A_24_P36868	0.6147	1.46E-01	-2.88E-01	WDR26
CUST_41437_PI429545399	0.6147	1.46E-01	1.40E-01	
CUST_25053_PI429545410	0.6147	1.46E-01	3.96E-01	
A_33_P3314531	0.6148	1.46E-01	6.36E-01	
A_23_P113777	0.6148	1.46E-01	5.66E-01	ITGBL1
CUST_24581_PI429545380	0.6149	1.46E-01	7.24E-01	
A_24_P213950	0.6149	1.46E-01	5.20E-01	HEPACAM
CUST_45135_PI429545380	0.6149	1.46E-01	-5.66E-01	
CUST_39167_PI429545388	0.6149	1.46E-01	2.60E-01	
CUST_16024_PI429545395	0.6149	1.46E-01	4.28E-01	
A_23_P75786	0.6149	1.46E-01	3.92E-01	SLC15A3
A_33_P3349597	0.615	1.46E-01	-2.80E-01	
A_24_P233488	0.615	1.46E-01	8.58E-01	LIF
A_33_P3224800	0.615	1.46E-01	5.32E-01	
A_24_P97770	0.615	1.46E-01	2.36E-01	ERGIC1
CUST_33523_PI429545410	0.615	1.46E-01	-4.68E-01	
CUST_10856_PI429545384	0.615	1.46E-01	-2.38E-01	
A_23_P254896	0.615	1.46E-01	-2.54E-01	FGF16
CUST_43995_PI429545410	0.615	1.46E-01	-2.52E-01	
A_23_P145657	0.6151	1.46E-01	-2.94E-01	STAG3
A_33_P3279629	0.6151	1.46E-01	2.24E-01	UCN2
CUST_45022_PI429545395	0.6151	1.46E-01	-2.90E-01	
A_33_P3272553	0.6151	1.46E-01	5.40E-01	NCAPH2
A_23_P85140	0.6151	1.46E-01	-2.48E-01	TCEAL2
A_33_P3359344	0.6151	1.46E-01	1.82E-01	C1orf86
A_33_P3243138	0.6151	1.46E-01	-3.28E-01	SELV
CUST_16298_PI429545406	0.6151	1.46E-01	3.36E-01	
CUST_38367_PI429545388	0.6151	1.46E-01	-6.70E-01	
CUST_21053_PI429545410	0.6151	1.46E-01	2.24E-01	
A_21_P0000177	0.6151	1.46E-01	-1.94E-01	
CUST_35759_PI429545410	0.6151	1.46E-01	2.08E-01	
CUST_33465_PI429545406	0.6151	1.46E-01	-7.26E-01	
A_23_P203420	0.6151	1.46E-01	-1.80E-01	MTA2
CUST_42135_PI429545380	0.6151	1.46E-01	-4.92E-01	
CUST_13317_PI429545395	0.6151	1.46E-01	5.36E-01	
CUST_44566_PI429545376	0.6151	1.46E-01	-1.84E-01	
A_33_P3299781	0.6151	1.46E-01	-2.02E-01	
A_23_P40108	0.6151	1.46E-01	-3.86E-01	COL9A3
CUST_40533_PI429545410	0.6151	1.46E-01	1.3	
CUST_10039_PI429545380	0.6151	1.46E-01	6.80E-01	
CUST_29503_PI429545410	0.6151	1.46E-01	-3.02E-01	
CUST_32629_PI429545399	0.6151	1.46E-01	1.92E-01	
CUST_32964_PI429545384	0.6151	1.46E-01	-4.76E-01	
CUST_26572_PI429545376	0.6151	1.46E-01	-3.18E-01	
A_23_P159335	0.6151	1.46E-01	3.22E-01	
CUST_19186_PI429545395	0.6151	1.46E-01	-4.96E-01	
A_23_P32320	0.6151	1.46E-01	2.30E-01	ASPSCR1
A_24_P41042	0.6151	1.46E-01	-2.88E-01	C12orf52
A_33_P3338968	0.6151	1.46E-01	2.84E-01	
A_33_P3281606	0.6151	1.46E-01	2.94E-01	KCNT1
A_33_P3211520	0.6151	1.46E-01	3.88E-01	
CUST_3477_PI429545388	0.6151	1.46E-01	7.38E-01	
A_33_P3221343	0.6151	1.46E-01	3.92E-01	HECTD2
CUST_42503_PI429545376	0.6151	1.46E-01	2.02E-01	
CUST_44333_PI429545388	0.6151	1.46E-01	1.44E-01	
A_33_P3370832	0.6151	1.46E-01	2.62E-01	FAM117B
CUST_12079_PI429545380	0.6151	1.46E-01	-2.28E-01	
CUST_38327_PI429545388	0.6151	1.46E-01	2.48E-01	
CUST_31099_PI429545406	0.6151	1.46E-01	-2.84E-01	
A_23_P11744	0.6151	1.46E-01	-2.54E-01	WASH1
CUST_25313_PI429545402	0.6151	1.46E-01	3.00E-01	
A_23_P35684	0.6151	1.46E-01	2.24E-01	INPP5F
A_24_P398781	0.6151	1.46E-01	-3.34E-01	IFT43
A_24_P369694	0.6151	1.46E-01	2.12E-01	PPP2R5C
A_23_P134100	0.6151	1.46E-01	-4.08E-01	ULBP3
CUST_24367_PI429545384	0.6151	1.46E-01	-4.14E-01	
CUST_25803_PI429545376	0.6151	1.46E-01	-2.44E-01	
CUST_27023_PI429545388	0.6151	1.46E-01	2.16E-01	
A_24_P53150	0.6151	1.46E-01	4.38E-01	TRAF7
CUST_32657_PI429545388	0.6151	1.46E-01	3.30E-01	
A_23_P23356	0.6151	1.47E-01	-2.62E-01	RRP15
A_23_P11841	0.6151	1.47E-01	-2.30E-01	ATP2B4
CUST_24458_PI429545402	0.6151	1.47E-01	3.32E-01	
CUST_25283_PI429545410	0.6151	1.47E-01	-4.72E-01	
CUST_24931_PI429545380	0.6151	1.47E-01	4.84E-01	
A_33_P3390172	0.6151	1.47E-01	8.08E-01	ADAMDEC1
CUST_28303_PI429545384	0.6151	1.47E-01	-2.56E-01	
A_23_P68740	0.6151	1.47E-01	-2.60E-01	AIRE
CUST_2950_PI429545410	0.6151	1.47E-01	3.36E-01	
A_23_P132718	0.6151	1.47E-01	-2.12E-01	SEMA3B
A_33_P3233040	0.6151	1.47E-01	3.04E-01	SERPINB11
CUST_17043_PI429545384	0.6151	1.47E-01	4.66E-01	
CUST_1344_PI429545410	0.6151	1.47E-01	-2.56E-01	
A_23_P73114	0.6151	1.47E-01	3.52E-01	
A_33_P3238895	0.6151	1.47E-01	-3.44E-01	
A_23_P48669	0.6151	1.47E-01	3.02E-01	CDKN3
A_33_P3404241	0.6151	1.47E-01	-4.20E-01	
CUST_30819_PI429545406	0.6151	1.47E-01	-3.38E-01	
A_24_P917306	0.6151	1.47E-01	-2.58E-01	ZNF385D
CUST_13769_PI429545380	0.6152	1.47E-01	2.24E-01	
CUST_15578_PI429545388	0.6152	1.47E-01	-3.56E-01	
CUST_14221_PI429545376	0.6152	1.47E-01	3.16E-01	
CUST_43037_PI429545399	0.6152	1.47E-01	-4.24E-01	
A_33_P3291160	0.6153	1.47E-01	2.36E-01	
A_23_P79231	0.6153	1.47E-01	2.78E-01	CREB1
A_23_P99452	0.6153	1.47E-01	3.58E-01	BRCA2
A_33_P3315659	0.6153	1.47E-01	-4.90E-01	
A_33_P3236686	0.6153	1.47E-01	-5.24E-01	
CUST_44847_PI429545406	0.6153	1.47E-01	2.16E-01	
CUST_32679_PI429545399	0.6153	1.47E-01	6.92E-01	
A_33_P3347417	0.6155	1.47E-01	3.02E-01	SPEN
A_33_P3219010	0.6155	1.47E-01	1.64E-01	
CUST_36967_PI429545384	0.6155	1.47E-01	-2.62E-01	
CUST_2783_PI429545384	0.6155	1.47E-01	4.18E-01	
CUST_40360_PI429545406	0.6155	1.47E-01	-3.32E-01	
A_33_P3353190	0.6155	1.47E-01	-5.42E-01	
CUST_19627_PI429545388	0.6155	1.47E-01	-3.74E-01	
CUST_12100_PI429545402	0.6155	1.47E-01	-7.42E-01	
CUST_37352_PI429545380	0.6156	1.47E-01	2.50E-01	
CUST_17568_PI429545406	0.6156	1.47E-01	1.36	
CUST_34066_PI429545402	0.6159	1.47E-01	-4.04E-01	
CUST_1587_PI429545399	0.6159	1.47E-01	4.44E-01	
A_32_P168247	0.6159	1.47E-01	2.52E-01	
CUST_19687_PI429545399	0.6159	1.47E-01	3.24E-01	
A_23_P28318	0.6159	1.47E-01	-1.94E-01	C2orf56
CUST_2533_PI429545384	0.6159	1.47E-01	2.50E-01	
CUST_19663_PI429545410	0.6159	1.47E-01	-4.32E-01	
CUST_37941_PI429545395	0.6159	1.47E-01	2.06E-01	
CUST_38667_PI429545388	0.6159	1.47E-01	-1.46E-01	
CUST_11520_PI429545410	0.6159	1.47E-01	-1.80E-01	
A_23_P78092	0.6159	1.47E-01	3.44E-01	EVI2A
CUST_44178_PI429545402	0.6159	1.47E-01	5.66E-01	
A_23_P134935	0.6159	1.47E-01	3.40E-01	
A_33_P3382629	0.6159	1.47E-01	-3.16E-01	
A_23_P303671	0.6159	1.47E-01	2.66E-01	
A_33_P3209055	0.6159	1.47E-01	-1.90E-01	
CUST_24863_PI429545406	0.616	1.47E-01	-3.74E-01	
