name	Fold change	p-value	G2-1	G2-2	G2-3	G2-4	G2-5	G2-6	G2-7	G2-8	G2-9	G2-10	G3-1	G3-2	G3-3	G3-4	G3-5	G3-6	G3-7	G3-8	G3-9	G3-10
M319T478	1.409470524	0.05223346	26334.69495	71731.60078	53601.3308	73706.03997	78871.78772	62923.04672	64824.31138	52165.43999	49860.37161	84043.10002	24907.286	65621.81038	44704.82509	37713.35528	46202.37292	77014.50358	71869.77268	32178.73016	19387.61904	18906.0387
M219T32	1.153587699	0.34181017	577717.9308	322143.6083	344087.624	288172.611	425686.185	146693.1515	400435.6395	221631.2441	254947.3857	364197.3257	249023.0625	275967.2224	236519.9569	456925.0422	360479.8224	278324.9379	276199.9518	172939.3241	241286.6971	352601.3051
M359T176	1.131052499	0.533309072	1666.559017	4995.313705	7277.629568	2067.387494	2612.670367	4593.681237	6908.523774	8452.548624	6100.027968	4294.85105	1124.822591	5292.509666	5994.315711	3531.08667	4136.704226	2955.403585	6941.901602	4691.969244	3864.985529	4761.544201
M445T451	1.417613741	0.166985171	9047.527205	93315.30749	46528.61933	112456.3937	91274.69834	49016.95007	62711.65898	35822.90541	85154.55082	91440.44174	61433.2772	53847.77824	20451.3959	46898.50906	61293.45791	109329.4529	31371.97667	63377.06664	3681.786692	25715.47731
M391T155	3.248727537	0.299696206	14623.32946	148830.7006	84936.22331	5554.711291	10641.41578	36186.25849	36373.87114	10154.41789	734771.8452	21820.32577	13243.99675	26013.84821	33369.51975	98413.38041	15232.32102	89098.49962	32810.56799	5621.482548	20549.70163	5439.135046
M465T26	1.303922596	0.301347558	471217.5735	324989.1304	206116.6886	1020262.643	209298.3052	476410.2016	167251.2552	342884.1637	516417.4247	406729.894	213235.3573	141578.2138	283086.2673	223715.6792	332483.1916	239237.0737	220041.7599	622555.6692	466305.9241	434005.5993
M253T104	0.75517159	0.367557954	45392.61737	64812.99858	48903.33617	61125.78395	87139.26824	201775.506	43413.79082	84147.3851	50296.87213	37882.79517	53033.79173	50627.55411	148789.9452	58106.96447	48174.7756	68237.61059	50223.58541	75047.08829	195798.8691	211861.3302
M129T399	1.177819323	0.403730976	1218.192569	25275.26762	11752.23786	29598.76541	23108.78898	13796.69745	26779.40054	19584.43369	25014.29517	37277.03406	23431.15968	23898.03444	13552.36641	10307.01995	28906.08638	21269.18776	18880.74613	12550.20999	15745.41516	12646.40363
M191T509	4.052348287	0.299143951	12446666.46	511191.3835	61527.40455	532643.7796	319472.0555	128025.1755	107493.5495	53185.8917	144409.4975	3117270.187	169666.4608	166956.3293	774867.2714	858477.532	313299.8354	664363.1351	270350.4733	461540.6419	454025.3588	165660.2734
M112T168	1.490200337	0.067173825	11879.40922	123470.8733	134725.5473	84367.25071	132386.7077	123791.6341	159259.2617	104560.3542	130598.2713	143363.7349	147285.4206	60443.70071	44056.00447	70840.08543	159300.4796	103065.9319	51988.50261	60284.31811	23079.38227	50292.85699
M128T17	0.978443937	0.92909757	32504.17656	35869.5664	75038.68723	38235.59947	30617.78441	88119.8447	32573.34263	28236.83501	37275.19275	27974.97356	23958.08078	41007.38976	14569.88497	55382.78286	33516.37538	99728.17936	36222.19998	39002.5546	23229.43328	69224.13802
M540T437	0.224939819	0.240061539	63953.23807	5711.857715	5792.233387	8579.014283	7576.4448	5551.211036	9276.74598	3271.744655	6949.010933	8262.522588	5114.085182	21280.65687	17863.934	25206.34367	27223.71285	367764.6072	11641.39148	18495.36984	7149.014919	53627.30964
M242T236	1.298478274	0.147029372	586.2730496	5949.938092	5504.091551	6685.226063	10048.6884	9931.231178	5975.969671	6758.248353	8693.533167	6647.401314	7995.521705	6088.209545	5119.925917	5521.876866	4685.198564	1952.578501	5976.297461	6526.867528	4469.26152	3094.157062
M304T325	3.300846252	0.008398291	16668.18423	5108.407673	8477.860508	4847.355802	9358.522976	8632.98631	3581.51838	2160.443188	2542.951528	2693.034364	6233.703834	1416.266962	1868.724862	1437.956792	2204.675107	1529.659598	1908.542428	1376.710453	280.8551547	1153.462005
M159T319	3.131676468	0.002036651	87130.90103	31872.76712	25539.74884	34737.19891	50854.38002	24776.06685	30266.08151	11292.91345	41244.82269	27116.50188	15547.70703	19386.77204	5501.960576	5827.09132	22794.68082	12875.70179	16360.31279	11261.7849	1015.520678	5925.617748
M147T79	1.379376857	0.174233116	5186.49156	65732.28222	45035.87949	31617.22916	35653.5049	57518.98058	37728.52061	75476.28202	17198.00297	37949.29491	42343.46087	22895.02197	44233.59754	18883.84134	44598.28209	28978.16737	19684.07712	45101.04759	8314.850063	21548.29211
M103T237	0.732871709	0.40956983	775.27948	11789.0498	11786.5483	11276.45352	3869.603688	7107.219985	5080.157194	22992.61809	7686.526639	24036.39167	14652.72988	11889.04859	3747.577316	44654.49386	13771.70429	13786.84981	7596.539344	24056.02689	1317.415064	9709.707582
M391T76	1.393022767	0.247822118	18890.64215	22305.64641	28292.39889	4824.263513	7209.36828	7555.985078	27093.04654	46429.03957	31029.51644	25950.40813	16889.42068	14612.53075	7991.014944	25386.5208	9603.782606	36951.27926	6072.700076	6424.485092	9646.511494	24050.41637
M266T168	1.405334138	0.174106388	19340.48224	7820.106165	8458.969536	6482.431607	9775.146684	8148.237099	7193.49115	7113.626762	6037.180213	9174.399492	16267.6738	4108.122612	3201.890784	3526.479641	9876.488735	4155.14898	5311.743797	9766.934012	2502.072926	5000.726284
M259T461_2	1.111183634	0.755467051	4138.353558	1337293.166	1066367.37	1638533.277	1495280.773	1569129.86	1526731.408	751968.1623	3858125.337	1955164.223	954277.1452	2108547.161	756076.8833	1231577.367	4273578.243	1387663.186	1099125.779	557640.9267	52988.11581	1260090.932
M191T97	1.309948153	0.477518329	7594.428789	120831.0317	114153.6286	49332.85947	39355.32271	37816.44173	36329.9721	39816.91669	17165.4838	53914.53587	79057.82249	24067.78417	11389.54971	16734.81284	100227.8786	44067.71527	1874.673253	94994.24376	7834.035647	13897.32915
M258T422_2	0.875099217	0.568505848	3252.471711	17017.22666	4965.648041	11755.29691	16770.5018	10412.91977	5563.075446	7663.015489	4872.753364	10475.92409	8195.142187	3457.104758	14904.22193	8135.985897	10712.74887	15818.56848	13433.83503	19428.88738	3314.971311	8585.182811
M193T391	1.065071223	0.683464241	3448.334076	12306.33876	27261.35714	14521.27954	21052.77344	23646.53973	20174.13956	25713.77441	24780.19622	12928.63814	23824.03704	17941.99962	13593.72364	20139.08015	17324.65856	16331.20876	12426.21633	11746.03896	17560.97386	23591.82267
M113T375	1.251414817	0.27435109	5841.564163	55861.53906	57250.59517	69027.40937	100704.8312	66193.75903	61806.02947	45429.69814	49992.52506	80227.67614	40547.72948	43669.60225	74732.46142	29655.66427	32335.96411	89517.039	37076.71107	70178.53986	22496.92545	33122.121
M111T489_1	27.81459883	0.320387291	10569301.88	79939.62045	18083.70379	81576.94186	97563.84665	16037.82422	25954.01695	15952.58673	21072.70024	212858.1408	18616.60176	24579.50876	47997.5496	101286.0087	25923.48688	57842.61802	17323.53244	59253.03813	11295.52152	36331.60064
M229T463	1.029457706	0.895944281	8944.524107	257675.3745	264378.5936	199788.8009	178303.4502	304809.2563	409635.3425	287345.6442	217809.1519	170241.9024	234451.5658	309805.0078	105110.4426	317794.7751	395116.5872	186395.5509	321031.0366	107641.0785	29005.82455	226796.7374
M160T412	0.55536306	0.220818126	88.56467219	5112.429389	7266.163618	5974.807922	11574.74654	6263.884687	7193.957553	7202.12672	5932.986994	5628.06966	6338.89079	7467.141953	6882.097893	4912.763764	32510.75324	35372.21928	6918.295353	4861.941935	2045.989955	4756.663982
M165T120	1.666928642	0.174513341	12433.81883	27607.34461	19227.86721	9389.756233	13030.15333	17320.52348	19900.2914	12844.63383	67918.41662	10137.68048	6485.473792	16625.85895	3637.034574	24497.57625	17063.58844	19244.71041	15278.40367	6228.523478	4424.339705	12380.99801
M341T490	0.615752844	0.164706462	660.6193608	14325.39249	8252.321191	9495.383545	7928.776631	12645.0092	15228.331	13229.76496	19420.1586	11993.01598	14183.32531	13276.48772	44065.71946	10270.09273	9293.720538	17162.92615	45585.32699	8269.044296	3872.311597	17826.56726
M151T37	1.479928536	0.072004313	95906.89777	81998.79119	51025.30122	94947.94394	83914.42812	229648.111	82501.42044	69964.50689	78591.35056	91774.02105	64096.45673	57457.35613	95101.20509	49097.8645	66202.15273	86108.35977	55769.23132	77780.17231	52573.67122	44677.81582
M164T364	2.115546478	0.003831162	2620.925787	84888.24917	77417.6582	44096.80299	75008.34818	57391.45398	59649.20217	39046.14063	31468.31327	63450.58976	25894.95152	30277.61191	44014.30282	29153.77187	19895.98919	29257.65236	32854.19994	16518.82755	6592.650868	18447.59554
M104T373	1.514584933	0.026926999	7028.60305	94246.93862	93951.95758	118095.8878	150164.033	122831.775	111460.5202	89813.20971	92895.33563	144316.5706	56560.46249	76222.47902	75235.28811	67037.67487	40532.33573	120571.7691	70138.28189	63878.95283	40816.17843	65630.78604
M401T469	0.96902523	0.894713711	1417.481354	3328.287145	7687.238733	4311.132084	11438.02727	5909.476278	4578.58238	3121.829361	3146.492435	3746.565463	2669.77975	4738.413821	3908.370841	6285.643245	4157.481468	4721.876286	4380.356715	10351.96965	2486.951527	6540.482713
M259T479	0.963567159	0.886837255	122103.287	2234027.056	1782135.787	3760313.674	4146990.497	2605785.876	2524413.461	1457160.381	5831471.408	2596021.206	1787117.948	3983639.391	1184729.339	4345701.897	5218134.105	3441921.106	3350079.98	1367042.712	210680.1387	3194540.902
M223T344	1.133619281	0.552782777	1205.584443	10277.37249	21351.4222	14742.7769	13917.50726	12217.64005	18677.13724	16179.65958	28448.92953	13133.98416	19294.62518	18912.5248	9446.174613	10881.22638	23567.88174	14292.5862	7983.406774	10654.99337	4391.561828	13028.67125
M289T468	0.925982414	0.75475699	35475.14849	111597.9409	61951.69926	213760.9446	228143.3811	98099.10144	84335.09858	60204.14644	156888.9767	143365.2011	59200.8818	178611.5352	56742.05628	177089.7551	132443.5769	197765.9838	211635.2905	77668.57109	20625.54343	177465.522
