name	Fold change	p-value	G2-1	G2-2	G2-3	G2-4	G2-5	G2-6	G2-7	G2-8	G2-9	G2-10	G3-1	G3-2	G3-3	G3-4	G3-5	G3-6	G3-7	G3-8	G3-9	G3-10
M216T389	1.547247339	0.03608287	10212.19991	113089.2039	61270.3422	86553.5786	53798.07191	55531.66805	74258.17611	43483.78047	67039.87261	78366.75279	33732.10795	35012.02376	36174.97251	56880.2107	42841.37921	58582.15859	47502.91317	61639.15052	6374.756823	37227.20578
M795T86	1.056082863	0.843913349	47676.13371	482828.0801	137714.803	123815.9196	352105.0369	200494.0004	351503.4143	129990.2572	75882.05523	118958.9928	108769.9211	133236.0736	148640.7979	133202.8294	366827.0038	202901.2111	232172.2994	299301.2483	73840.644	214753.9216
M667T489_2	0.510665033	0.162108283	1521.987614	26682.37333	9670.287715	12490.76614	9963.090986	13006.14427	18187.24734	19355.22496	29305.98727	18614.85603	19365.61671	13976.65804	78621.53431	19557.29769	5890.965199	27392.89806	99196.34857	16337.63695	1925.133407	28698.9793
M428T165_2	0.460959742	0.133542383	61331.35287	133360.3239	672958.0922	99236.99384	631599.4933	263192.7832	420683.7623	1097060.101	139174.9707	162015.5068	664425.2552	838247.2759	1185237.644	2884843.834	499531.4749	561231.1838	482482.4029	135316.6341	93500.11868	639858.4228
M265T338	0.880142636	0.541856305	89755.39003	215560.6944	106455.168	92089.29655	124246.0669	126197.9512	162480.122	78976.09363	106513.2138	142561.0448	103490.5248	179689.0924	76620.22388	105426.4263	175631.486	138555.695	332006.4517	127319.1511	87793.88765	87823.08697
M759T124	1.093569895	0.764131384	3202552.634	45824488.3	15530844.36	7496189.635	23980851.92	21297675.63	20225418.47	23278585.88	3433991.789	7552772.594	13302520.59	11825229.47	25504081.9	10345448.38	10839049.75	14976895.18	15585884.12	34407397.82	7773503.945	12561515.36
M235T411	9.733317852	0.298333994	757324.6701	22457.75182	11397.41361	15305.36987	23933.82766	15747.9546	19071.97586	4935.936972	10079.88633	6941.276208	6360.724886	9887.869853	5543.037945	7454.964065	14330.57463	16814.19251	11545.76912	9850.764587	1074.155321	8288.372512
M249T408	2.482125695	0.23941583	124579.6927	8592.203892	4540.104031	11849.25305	8549.619845	7310.098874	7120.729754	55035.65771	8199.262486	11059.77448	7319.584218	9370.040063	5356.062593	8754.889488	13638.36685	7728.574328	18771.9326	13207.68725	6860.291125	8438.138383
M257T355	2.264524094	0.033968443	33585.27591	25921.90907	4941.027576	17734.66256	29922.52449	7300.161615	10308.7824	8299.248736	6095.688238	7799.387182	4559.167513	8772.330266	5114.222726	3507.642675	5108.996621	5264.57328	13556.05404	15314.99341	2285.824115	3598.134629
M221T319	1.546600274	0.031333954	6972.786999	3973.940186	2355.896942	2566.913665	5522.794711	2817.919204	2834.569406	2560.68997	3214.953092	3042.028485	3532.843703	3080.427178	2925.295644	1021.473725	1911.262218	1677.512273	2547.551814	2548.653936	2653.279921	1289.651422
